Category,Column,Source,Type,Description,Data_Type,Missing_Count,Missing_Percentage,Completeness_Percentage
🎯 ERGAST API - BASIC RACE DATA,year,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",int64,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,round,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",int64,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,date,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,circuit_id,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,circuit_name,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,country,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,driver_id,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,driver_first_name,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,driver_last_name,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,driver_nationality,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,constructor_id,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,constructor_name,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,constructor_nationality,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",object,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,grid_position,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",float64,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,position,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",int64,0,0.0,100.0
🎯 ERGAST API - BASIC RACE DATA,target_position,Ergast API,Raw API Data,"Basic F1 race information, results, driver/team details",int64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,group_key,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",object,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,rank,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",int64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,race_size,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",int64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,position_percentile,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_career_wins,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",int64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_career_podiums,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",int64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_career_total_points,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_career_avg_points,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_career_avg_position,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_career_race_count,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",int64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_win_rate,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_podium_rate,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_points_rate,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_career_wins,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",int64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_career_podiums,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",int64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_career_total_points,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_career_avg_points,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_career_avg_position,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_career_race_count,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",int64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_win_rate,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_podium_rate,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_points_rate,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_track_avg_points,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_track_avg_position,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,driver_track_race_count,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",int64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_track_avg_points,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_track_avg_position,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",float64,0,0.0,100.0
📊 ERGAST FEATURE ENGINEERED,constructor_track_race_count,Ergast API (Processed),Feature Engineered,"Career statistics, track-specific performance, ratios",int64,0,0.0,100.0
⚡ FASTF1 API - TELEMETRY DATA,driver_abbreviation,FastF1 API,Raw API Data,"Telemetry data, tire strategy, weather conditions",object,952,28.7,71.3
⚡ FASTF1 API - TELEMETRY DATA,driver_number,FastF1 API,Raw API Data,"Telemetry data, tire strategy, weather conditions",float64,952,28.7,71.3
⚡ FASTF1 API - TELEMETRY DATA,fastest_lap_time,FastF1 API,Raw API Data,"Telemetry data, tire strategy, weather conditions",float64,1007,30.3,69.7
