year,round,country,driver_nationality,constructor_nationality,grid_position,is_2017_plus_era,is_2022_plus_era,is_covid_season_2020,has_sprint_format,driver_career_total_points,driver_career_avg_points,driver_career_avg_position,driver_career_race_count,driver_career_wins,driver_career_podiums,constructor_career_total_points,constructor_career_avg_points,constructor_career_avg_position,constructor_career_race_count,constructor_career_wins,constructor_career_podiums,driver_track_avg_position,driver_track_race_count,constructor_track_avg_position,constructor_track_race_count,driver_abbreviation,driver_number,air_temp,track_temp,humidity,wind_speed,main_compound,is_soft_primary,is_hard_primary,is_medium_primary,is_intermediate,is_wet,temp_differential,is_hot_conditions,is_cold_conditions,is_high_track_temp,is_high_humidity,is_low_humidity,is_windy_conditions,has_fastf1_data,race_size,typology,enneagram,heaight,why_choose_number_categorical,target_position,group_key
2018,1,Australia,German,Italian,3.0,1,0,0,0,990.0,8.182,8.174,121,11,36,3790.5,10.19,6.71,372,24,127,6.25,4,6.571,14,VET,5.0,24.1,36.3,30.9,3.7,SOFT,1.0,0.0,0.0,0.0,0.0,12.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,True,20,INFJ,9w1,175,Karting Success,1,2018_1
2018,1,Australia,British,German,1.0,1,0,0,0,2680.5,14.489,4.53,185,52,98,4817.5,12.95,5.218,372,66,178,5.714,7,6.214,14,HAM,44.0,24.1,36.3,30.9,3.7,SOFT,1.0,0.0,0.0,0.0,0.0,12.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,True,20,ISFP,3w4,174,Personal Connection,2,2018_1
2018,1,Australia,Finnish,Italian,2.0,1,0,0,0,513.0,5.182,10.02,99,1,19,3790.5,10.19,6.71,372,24,127,5.0,3,6.571,14,RAI,7.0,24.1,36.3,30.9,3.7,SOFT,1.0,0.0,0.0,0.0,0.0,12.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,True,20,ISTP,5w4,175,Karting Success,3,2018_1
2018,1,Australia,Australian,Austrian,5.0,1,0,0,0,704.0,4.757,10.331,148,4,14,4407.5,11.848,6.489,372,74,155,11.6,5,8.071,14,RIC,3.0,24.1,36.3,30.9,3.7,SOFT,1.0,0.0,0.0,0.0,0.0,12.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,True,20,ENFP,7w6,179,Karting Success,4,2018_1
2018,1,Australia,Spanish,British,11.0,1,0,0,0,527.0,3.585,10.796,147,0,9,2325.0,6.25,9.172,372,19,66,10.667,6,8.214,14,ALO,14.0,24.1,36.3,30.9,3.7,SOFT,1.0,0.0,0.0,0.0,0.0,12.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,True,20,ENTJ,1w2,171,Karting Success,5,2018_1
2018,1,Australia,Dutch,Austrian,4.0,1,0,0,0,2900.5,15.594,4.833,186,66,113,4407.5,11.848,6.489,372,74,155,7.714,7,8.071,14,VER,33.0,24.1,36.3,30.9,3.7,SOFT,1.0,0.0,0.0,0.0,0.0,12.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,True,20,ISTP,8w7,181,Championship,6,2018_1
2018,1,Australia,German,French,8.0,1,0,0,0,238.0,1.831,12.485,130,0,1,451.0,2.854,11.405,158,0,3,8.0,6,12.167,6,HUL,27.0,24.1,36.3,30.9,3.7,SOFT,1.0,0.0,0.0,0.0,0.0,12.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,True,20,ISTP,9w1,184,Personal Connection,7,2018_1
2018,1,Australia,Finnish,German,10.0,1,0,0,0,1377.0,8.148,8.698,169,10,58,4817.5,12.95,5.218,372,66,178,7.5,6,6.214,14,BOT,77.0,24.1,36.3,30.9,3.7,SUPERSOFT,0.0,0.0,0.0,0.0,0.0,12.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,True,20,ISTP,6w5,173,Personal Connection,8,2018_1
2018,1,Australia,Belgian,British,12.0,1,0,0,0,25.0,0.61,13.268,41,0,0,2325.0,6.25,9.172,372,19,66,11.0,2,8.214,14,VAN,2.0,24.1,36.3,30.9,3.7,SUPERSOFT,0.0,0.0,0.0,0.0,0.0,12.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,True,20,,,178,,9,2018_1
2018,1,Australia,Spanish,French,9.0,1,0,0,0,1167.5,6.311,8.903,185,4,28,451.0,2.854,11.405,158,0,3,12.714,7,12.167,6,SAI,55.0,24.1,36.3,30.9,3.7,SOFT,1.0,0.0,0.0,0.0,0.0,12.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,True,20,INTJ,1w9,178,Personal Connection,10,2018_1
